STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090202 12:00,999.99
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090206 00:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090206 03:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090206 13:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090208 19:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090208 20:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090208 21:00,0.30
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090208 22:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090208 23:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090209 00:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090209 01:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090209 02:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090209 03:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090209 04:00,0.40
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090209 06:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090210 20:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090211 00:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090211 02:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090211 05:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090211 16:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090211 17:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090211 18:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090211 19:00,0.30
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090212 01:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090213 05:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090213 06:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090213 07:00,0.40
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090213 08:00,0.30
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090213 09:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090213 17:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090213 19:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090213 20:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090213 21:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090213 22:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090213 23:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090214 00:00,0.30
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090214 01:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090214 02:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090214 03:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090214 06:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090215 12:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090215 13:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090215 14:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090215 15:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090216 12:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090216 13:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090216 15:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090216 18:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090217 15:00,0.40
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090217 16:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090218 12:00,0.80
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090218 13:00,1.30
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090220 01:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090222 04:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090222 05:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090222 06:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090222 07:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090222 08:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090222 09:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090222 11:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090222 12:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090222 13:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090222 14:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090222 15:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090222 16:00,0.10
